endereco,preco,area,quartos,banheiros,garagens
"Plano Diretor Norte, Palmas",1000000,112,3,2,4
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,150,3,2,2
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3
"Plano Diretor Sul, Palmas",220000,86,2,2,2
"Quadra ARSE 92 Alameda 4, Plano Diretor Sul",550000,190,4,2,2
"Avenida Tocantins, Setor Bela Vista Taquaralto",198000,83,2,2,2
"Quadra ARSO 151 QI 35, Plano Diretor Sul",88000,135,3,2,2
"Plano Diretor Norte, Palmas",390000,149,4,2,2
"Quadra ARSE 101 Alameda 12, Plano Diretor Sul",250000,405,3,2,4
"Plano Diretor Sul, Palmas",660000,165,4,3,4
"Área Rural de Palmas, Area Rural de Palmas",900000,390,5,5,4
"Avenida H, Jardim Aureny III Taquaralto",375000,104,3,2,2
"Avenida João Pires Querido, Jardim Janaina Taquaralto",190000,85,3,2,2
"Jardim Aureny III, Palmas",260000,108,3,2,2
"Rua P 6, Setor Sul Taquaralto",144430,70,2,2,1
"Plano Diretor Sul, Palmas",530000,103,2,2,2
"Plano Diretor Sul, Palmas",650000,205,3,3,4
"Setor Morada do Sol Taquaralto, Palmas",220000,175,3,2,5
"Plano Diretor Sul, Palmas",160000,60,2,1,1
"Plano Diretor Norte, Palmas",780000,205,3,2,4
"Rua Allan Sampaio, Loteamento Bertaville",260000,102,3,2,2
"Plano Diretor Sul, Palmas",520000,118,3,2,2
"Setor Bela Vista Taquaralto, Palmas",270000,90,3,3,2
"Setor Sonia Regina Taquaralto, Palmas",190000,90,2,2,2
"Quadra ARSO 102 Alameda 9, Plano Diretor Sul",350000,10,3,2,3
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2
"Jardim Janaina Taquaralto, Palmas",160000,80,2,2,0
"Rua 32, Jardim Aureny III",240000,64,3,1,2
"Plano Diretor Sul, Palmas",695000,180,3,2,2
"Avenida Doutor Ricardo Pires de Castro, Jardim Janaina Taquaralto",195000,90,3,2,2
"Rua SF 31, Setor Santa Fé 2 Taquaralto",150000,72,2,1,2
"Taquarussu, Palmas",350000,93,3,2,2
"ARNE 13 Alameda 2, Centro",420000,117,3,2,2
"ARSO 22 Avenida LO 5, Plano Diretor Sul",630000,154,3,3,4
"Setor Bela Vista Taquaralto, Palmas",320000,129,3,2,2
"Plano Diretor Sul, Palmas",350000,164,4,3,2
"Plano Diretor Sul, Palmas",650000,195,3,4,4
"Rua das Orquídeas, Setor Sonia Regina Taquaralto",260000,180,3,2,0
"Plano Diretor Expansao Sul, Palmas",540000,120,3,3,3
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",255000,68,2,2,2
"Setor Uniao Sul, Palmas",75000,70,2,2,1
"Loteamento Bertaville, Palmas",260000,110,3,2,2
"Loteamento Bertaville, Palmas",379000,148,3,2,2
"Quadra ARNE 14 Alameda 19, Plano Diretor Norte",450000,137,3,2,3
"Quadra ARNE 63 Rua 4 A, Plano Diretor Norte",400000,169,3,3,2
"Conjunto Maria Rosa Taquaralto, Palmas",120000,125,3,1,2
