endereco,preco,area,quartos,banheiros,garagens,latitude,longitude
"Plano Diretor Norte, Palmas",1000000,112,3,2,4,-10.1701661,-48.3339796
"ARSO 43 Alameda 3, Plano Diretor Sul",625000,150,3,2,2,-10.215773,-48.3340767
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3,-10.156889,-48.3134594
"Plano Diretor Sul, Palmas",220000,86,2,2,2,-10.2196474,-48.33896439999999
"Quadra ARSE 92 Alameda 4, Plano Diretor Sul",550000,190,4,2,2,-10.2155869,-48.3460051
"Avenida Tocantins, Setor Bela Vista Taquaralto",198000,83,2,2,2,-10.3501298,-48.2900675
"Quadra ARSO 151 QI 35, Plano Diretor Sul",88000,135,3,2,2,-10.215773,-48.3340767
"Plano Diretor Norte, Palmas",390000,149,4,2,2,-10.1701661,-48.3339796
"Quadra ARSE 101 Alameda 12, Plano Diretor Sul",250000,405,3,2,4,-10.2145542,-48.3470753
"Plano Diretor Sul, Palmas",660000,165,4,3,4,-10.2196474,-48.33896439999999
"Área Rural de Palmas, Area Rural de Palmas",900000,390,5,5,4,,
"Avenida H, Jardim Aureny III Taquaralto",375000,104,3,2,2,-10.3214524,-48.3177883
"Avenida João Pires Querido, Jardim Janaina Taquaralto",190000,85,3,2,2,-10.3316104,-48.3100926
"Jardim Aureny III, Palmas",260000,108,3,2,2,-10.300991,-48.3489356
"Rua P 6, Setor Sul Taquaralto",144430,70,2,2,1,-10.3449852,-48.295229
"Plano Diretor Sul, Palmas",530000,103,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,205,3,3,4,-10.2196474,-48.33896439999999
"Setor Morada do Sol Taquaralto, Palmas",220000,175,3,2,5,-10.3573511,-48.2841556
"Plano Diretor Sul, Palmas",160000,60,2,1,1,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",780000,205,3,2,4,-10.1701661,-48.3339796
"Rua Allan Sampaio, Loteamento Bertaville",260000,102,3,2,2,-10.2929032,-48.3199199
"Plano Diretor Sul, Palmas",520000,118,3,2,2,-10.2196474,-48.33896439999999
"Setor Bela Vista Taquaralto, Palmas",270000,90,3,3,2,-10.3526595,-48.2966073
"Setor Sonia Regina Taquaralto, Palmas",190000,90,2,2,2,-10.354293,-48.30345699999999
"Quadra ARSO 102 Alameda 9, Plano Diretor Sul",350000,10,3,2,3,-10.1857418,-48.3177581
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2,-10.2155869,-48.3460051
"Jardim Janaina Taquaralto, Palmas",160000,80,2,2,0,-10.3398601,-48.3001313
"Rua 32, Jardim Aureny III",240000,64,3,1,2,-10.3151435,-48.3184282
"Plano Diretor Sul, Palmas",695000,180,3,2,2,-10.2196474,-48.33896439999999
"Avenida Doutor Ricardo Pires de Castro, Jardim Janaina Taquaralto",195000,90,3,2,2,-10.3398601,-48.3001313
"Rua SF 31, Setor Santa Fé 2 Taquaralto",150000,72,2,1,2,-10.331587,-48.2917292
"Taquarussu, Palmas",350000,93,3,2,2,-10.3146451,-48.1591704
"ARNE 13 Alameda 2, Centro",420000,117,3,2,2,,
"ARSO 22 Avenida LO 5, Plano Diretor Sul",630000,154,3,3,4,-10.1973053,-48.3207783
"Setor Bela Vista Taquaralto, Palmas",320000,129,3,2,2,-10.3526595,-48.2966073
"Plano Diretor Sul, Palmas",350000,164,4,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,195,3,4,4,-10.2196474,-48.33896439999999
"Rua das Orquídeas, Setor Sonia Regina Taquaralto",260000,180,3,2,0,-10.352041,-48.3010275
"Plano Diretor Expansao Sul, Palmas",540000,120,3,3,3,-10.2654323,-48.3324219
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",255000,68,2,2,2,-10.1602982,-48.3127103
"Setor Uniao Sul, Palmas",75000,70,2,2,1,-10.2992054,-48.3210843
"Loteamento Bertaville, Palmas",260000,110,3,2,2,-10.2914525,-48.3180932
"Loteamento Bertaville, Palmas",379000,148,3,2,2,-10.2914525,-48.3180932
"Quadra ARNE 14 Alameda 19, Plano Diretor Norte",450000,137,3,2,3,-10.2133613,-48.3450901
"Quadra ARNE 63 Rua 4 A, Plano Diretor Norte",400000,169,3,3,2,-10.1701661,-48.3339796
"Conjunto Maria Rosa Taquaralto, Palmas",120000,125,3,1,2,-10.3411754,-48.283533
"Plano Diretor Sul, Palmas",1200000,196,3,3,2,-10.2196474,-48.33896439999999
